Insee;Nom;Altitude;code_postal;longitude_radian;latitude_radian;pop99;surface
69197;Saint-Étienne-des-Oullières;280;69460;0.081099638457151;0.80404894630155;1519;9.66
69198;Saint-Étienne-la-Varenne;380;69460;0.080808746364708;0.80421379597302;608;6.43
69199;Saint-Fons;170;69190;0.084706640482311;0.79778998510765;15671;6.08
69200;Saint-Forgeux;380;69490;0.078147116592255;0.80040800561725;1353;22.23
69201;Sainte-Foy-l'Argentière;430;69610;0.078035605043988;0.79778026456966;1167;1.55
69202;Sainte-Foy-lès-Lyon;300;69110;0.083848528367194;0.79825543908717;21193;6.87
69203;Saint-Genis-l'Argentière;480;69610;0.078408913649789;0.79779484537663;860;10.83
69204;Saint-Genis-Laval;230;69230;0.083683687018097;0.79755243113841;19221;12.96
69205;Saint-Genis-les-Ollières;300;69290;0.082491048580554;0.79861902715498;4743;3.78
69206;Saint-Georges-de-Reneins;189;69830;0.082398928173974;0.80395680092783;3832;27.38
69207;Saint-Germain-au-Mont-d'Or;250;69650;0.08385336366905;0.80076193972612;2385;5.48
69208;Saint-Germain-sur-l'Arbresle;300;69210;0.08050331507719;0.80027711124966;1123;6.61
69209;Saint-Igny-de-Vers;540;69790;0.077434446362172;0.8070547896449;553;27.16
69210;Saint-Jacques-des-Arrêts;480;69860;0.080231805804055;0.80732143864904;112;7.51
69211;Saint-Jean-d'Ardières;185;69220;0.082709219730481;0.80508644728322;2275;12.47
69212;Saint-Jean-des-Vignes;350;69380;0.081758970564027;0.80067465462138;381;2.53
69213;Saint-Jean-de-Touslas;340;69700;0.081371122763148;0.79549680367201;616;5.52
69214;Saint-Jean-la-Bussière;517;69550;0.075480634873192;0.80292416021515;862;15.68
69215;Saint-Julien;260;69640;0.081172351077288;0.80334114466284;768;6.98
69216;Saint-Julien-sur-Bibost;500;69690;0.078888881857248;0.79944320893333;507;13.32
69217;Saint-Just-d'Avray;559;69870;0.077604131335502;0.80291929994617;631;17.55
69218;Saint-Lager;240;69220;0.081521416594791;0.80483431250701;874;7.68
69219;Saint-Laurent-d'Agny;380;69440;0.081788065598937;0.79660221526147;1768;10.59
69220;Saint-Laurent-de-Chamousset;640;69930;0.077914414569632;0.79831842284694;1703;17.25
69221;Saint-Laurent-de-Vaux;430;69670;0.080847528648082;0.79788699075035;215;2.59
69222;Saint-Laurent-d'Oingt;400;69620;0.079654890210539;0.80188665923349;726;9.17
69223;Saint-Loup;480;69490;0.078384670561491;0.80101400792329;864;9.62
69224;Saint-Mamert;420;69860;0.079970008746522;0.80725352804125;59;3.25
69225;Saint-Marcel-l'Éclairé;580;69170;0.077419890522339;0.80068430858034;508;11.85
69227;Saint-Martin-en-Haut;730;69850;0.079577308999034;0.79692219406645;3429;39.09
69228;Saint-Maurice-sur-Dargoire;470;42800|69440;0.080832989453007;0.79557443481777;2100;16.26
69229;Saint-Nizier-d'Azergues;526;69870;0.077928953764708;0.80441253436937;641;24.20
69230;Sainte-Paule;500;69620;0.079683985245448;0.80215816850662;245;7.66
69231;Saint-Pierre-la-Palud;386;69210;0.080639061391378;0.79909899536244;1983;7.49
69233;Saint-Romain-au-Mont-d'Or;250;69270;0.084168507172168;0.80001046224553;948;2.56
69234;Saint-Romain-de-Popey;400;69490;0.079092513812098;0.80018010560695;1203;17.12
69235;Saint-Romain-en-Gal;160;69560;0.08476483055213;0.79473081196347;1380;13.56
69236;Saint-Romain-en-Gier;190;69700;0.082146835009661;0.79529320500666;512;4.07
69237;Saint-Sorlin;500;69440;0.080968735767195;0.7962482811526;687;4.72
69238;Saint-Symphorien-sur-Coise;597;69590;0.077831981411515;0.79648097485284;3069;4.08
69239;Saint-Vérand;380;69620;0.079014932600594;0.80144064632992;993;17.49
69240;Saint-Vincent-de-Reins;589;69240;0.076581169548911;0.80418956120711;650;13.83
69241;Taluyers;330;69440;0.082413467369048;0.7965876344545;1870;8.18
69242;Taponas;173;69220;0.083155232634041;0.80495555291564;572;7.57
69243;Tarare;400;69170;0.077419890522339;0.80102372846127;10420;14.10
69244;Tassin-la-Demi-Lune;210;69160;0.083164936527264;0.79874506125357;15977;7.95
69245;Ternand;340;69620;0.079044027635502;0.80186728473656;625;10.75
69246;Theizé;457;69620;0.080585723268171;0.80181395493573;999;11.91
69247;Thel;710;69470;0.076392085111515;0.80490708338379;293;10.33
69248;Thizy;504;69240;0.075277027885478;0.80342836318854;2483;1.96
69249;Thurins;380;69510;0.081162663828824;0.79727612817532;2451;19.29
69250;La Tour-de-Salvagny;350;69890;0.082335911124678;0.79963229337074;3402;8.44
69251;Trades;400;69860;0.079620943229019;0.80769474725484;101;8.06
69252;Trèves;340;69420;0.081642623713904;0.79478900203329;558;7.75
69253;Tupin-et-Semons;150;69420;0.083615809699814;0.79386788119126;441;8.23
69254;Valsonne;462;69170;0.077347177902202;0.80192547480638;714;18.37
69255;Vaugneray;414;69670;0.081293558196401;0.79828453412207;4175;22.55
69256;Vaulx-en-Velin;170;69120;0.085957468989673;0.79912809039735;39154;21.08
69257;Vaux-en-Beaujolais;380;69460;0.080134858417998;0.80387444267111;766;17.69
69258;Vauxrenard;500;69820;0.081046300333944;0.80650691082964;275;19.07
69259;Vénissieux;194;69200;0.085225407617901;0.79770756027191;56061;15.37
69260;Vernaison;170;69390;0.08396972716393;0.79672824936006;4000;4.11
69261;Vernay;700;69430;0.079019784547205;0.80561002475353;127;5.60
69263;Villechenève;720;69770;0.076930235066415;0.79959347779784;610;14.08
69264;Villefranche-sur-Saône;194;69400;0.08244741435057;0.802657511211;30647;9.44
69265;Ville-sur-Jarnioux;420;69640;0.080435437758907;0.80219212381052;640;10.31
69266;Villeurbanne;169;69100;0.085205999831457;0.79899719602977;124215;14.83
69267;Villié-Morgon;280;69910;0.081681405997278;0.80569730985825;1614;18.51
69268;Vourles;240;69390;0.083320082305517;0.79692219406645;2743;5.57
69269;Yzeron;700;69510;0.080130006471388;0.7977415155758;769;10.70
69270;Chaponnay;212;69970;0.086136849533846;0.79636466129223;3317;18.99
69271;Chassieu;220;69680;0.086762251303959;0.79842994271759;9049;11.59
69272;Communay;240;69360;0.08436727885803;0.79598649241743;3883;10.43
69273;Corbas;200;69960;0.085564769242183;0.79710155796585;9259;11.85
69275;Décines-Charpieu;210;69150;0.086636208882993;0.79881783213035;24193;17.09
69276;Feyzin;200;69320;0.084774517800594;0.79704336789604;8469;10.47
69277;Genas;220;69740;0.087208289174656;0.79819238874835;11140;24.12
